id,dialog,dialog_ja,dialog_ans,dialog_ans_ja,wrong_ans1,wrong_ans2,wrong_ans3,ques_file_name,ans_file_name,lesson_id
1,Can I return the car outside office hours?,営業時間外の返却はできますか？,"We're sorry, but you can't do it.",あいにく対応はできません。,I'm afraid smoking is not allowed here.,"At first, you have to rescue the injured and call police and outlet.",Please pay the rental fee in advance.,sound_dialog_ques_001.mp3,sound_dialog_ans_001.mp3,1
2,Do I have to return to same outlet?,必ず同じ店舗に返さなくてはなりませんか？,You can't return the car at some outlets.,一部、返却いただけない店舗もありますのでご注意ください。,Please use public transport or taxi from the scene.,Please operate it like this way.,It's as partial compensation for loss of use during vehicle repair.,sound_dialog_ques_002.mp3,sound_dialog_ans_002.mp3,1
3,Can you arrange a driver?,運転手付きでレンタカーを借りることはできますか？,No. We are prohibited by road transport law.,道路運送法により固く禁じられております。,I think you'd better call the credit card company.,I'm afraid it might not come soon.,Please call accident reception center.,sound_dialog_ques_003.mp3,sound_dialog_ans_003.mp3,1
4,Does it any cost if I drop off the car?,乗り捨ての場合、別途料金はかかりますか？,You have to pay the drop-off fee based on the distance.,距離によって、別途料金がかかります。,Please call to police and outlet from the scene.,You can get it at only designated institution in each countries.,It will be change depends on the large of car and where you have parked.,sound_dialog_ques_004.mp3,sound_dialog_ans_004.mp3,1
5,"If I return the car later than original period, how much should I pay?",予定よりも遅く返却したら、どのくらいの金額がかかりますか？,An extension charge will occur per 1 hour and change depends on type of vehicle.,車種ごとに金額が異なりますが、1時間ごとに延長料金が発生します。,Let me check the license if it is valid or not.,We calculate fuel charge based on the distance driven.,Would you sign here?,sound_dialog_ques_005.mp3,sound_dialog_ans_005.mp3,1
6,"If I will cancel the reservation on the day, do you refund the charge?",当日予約をキャンセルした場合、返金はありますか？,Please contact the website where you made reservation by yourself.,ご自身で、予約したサイトへお問い合わせください。,"This is optional system, but we recommend you to apply it for safety.","After departure, you can't apply it.","We can arrange it, but rental contract is finished and we don't refund the rental fee.",sound_dialog_ques_006.mp3,sound_dialog_ans_006.mp3,1
7,How long does it take at returning procedure?,返却手続きには通常何分かかりますか？,It takes about twenty minutes.,約20分ほどかかります。,It's as partial compensation for loss of use during vehicle repair.,Please do not settle privately.,Could you sign here?,sound_dialog_ques_007.mp3,sound_dialog_ans_007.mp3,1
8,What will be happen if I lost the key?,もし車の鍵を無くしてしまったらどうなりますか？,You have to pay the remake charge of the key.,返却時にキー再作成費用をご負担いただきます。,Let me check if we can provide it.,"In Japan, cars are driven on the left side of the road.",Please write down the flight number you will take earlier.,sound_dialog_ques_008.mp3,sound_dialog_ans_008.mp3,1
9,Can I pay the charge by credit card issued in overseas?,海外発行のクレジットカードは使用することができますか？,Some credit card can't make payment.,一部のカードについては精算いただくことができません。,"If you don't have an address in Japan, you can't apply it.",It might be differ from day to day.,Here is your change.,sound_dialog_ques_009.mp3,sound_dialog_ans_009.mp3,1
10,What will be happen if I didn't report accident to police?,もし事故を警察に届けなかったらどうなりますか？,The compensation system is not applicable and you have to pay total repair charge.,保険の適用ができず、修理代を全額お支払いいただきます。,"After departure, you can't apply it.",Let me check if we can provide it.,Some credit card can't make payment.,sound_dialog_ques_010.mp3,sound_dialog_ans_010.mp3,1
11,Do I have to pay NOC if any accident happen?,どのような事故が起きてもNOCを払わなくてはいけませんか？,"If you don't have any fault, you don't need to pay it.",あなたに一切過失が無い場合は払う必要はありません。,"If we can check you've pay the fine,we refund the illegal parking penalty.",You can get it at only designated institution in each countries.,We'll pick you up. Please wait there.,sound_dialog_ques_011.mp3,sound_dialog_ans_011.mp3,2
12,What should I do if I have an accident?,事故を起こしてしまった場合、どうしたらよいですか？,"At first, you have to rescue the injured and call police and outlet.",まずはケガ人の救護を行い、店舗、警察への連絡をお願いいたします。,It takes one hours(minutes).,We have a reservation number.,"We're sorry, we can't refund the charge.",sound_dialog_ques_012.mp3,sound_dialog_ans_012.mp3,2
13,Where should I call if accident happened on outside business hour?,営業時間外に事故が起きてしまった場合、どこに連絡したらいいですか？,Please call accident reception center.,事故受付センターまでお電話ください。,Please check the insertion orientation of ETC card.,Please take bus.,It takes about thirty or forty minutes.,sound_dialog_ques_013.mp3,sound_dialog_ans_013.mp3,2
14,Do I need to call police and outlet even for small scratches?,小さいキズでも警察・店舗に連絡しないといけませんか？,"If you don't call them, the compensation system is not applicable.",連絡が無い場合、補償制度を適用することはできません。,You are not allowed to drive a car in Japan.,Could you describe it?,It takes about one hour.,sound_dialog_ques_014.mp3,sound_dialog_ans_014.mp3,2
