id,phrase,phrase_ja,phrase_part1,phrase_part2,phrase_part3,phrase_part4,file_name,lesson_id
1,Do you have a reservation?,事前に予約をされていますか？,do,you,have,a reservation?,sound_phrase_001.mp3,1
2,"May I have your name or reservation number, please?",お名前か予約番号をお伺いできますか？,may I have,your name,or reservation number,",please?",sound_phrase_002.mp3,1
3,Which size of the car would you like to rent?,車の大きさはどのくらいがよろしいでしょうか？,which,size of,the car would you,like to rent?,sound_phrase_003.mp3,1
4,"How large is your luggage?If they're too large, they can't be loaded.",お荷物の大きさはどのくらいですか？大きすぎると積み込めない可能性があります。,how large,is your luggage?,"If they're too large,",they can't be loaded,sound_phrase_004.mp3,1
5,Could you check the car actually?,実際に車を確認していただけますか？,could you,check,the car,actually?,sound_phrase_005.mp3,1
6,"We'll check if we can offer the vehicle, so please wait a minutes.",車両のご用意が可能かどうかお調べいたしますので少々お待ちください。,we'll check if we,can offer,"the vehicle, so please",wait a minutes,sound_phrase_006.mp3,1
7,Amount of payment will be change because you have changed the type of vehicle.,車種が替わりますので、お支払い金額も変わります。,amount of payment,will be change because,you have changed,the type of vehicle,sound_phrase_007.mp3,1
8,Where is your destination of your driving?,ドライブの目的地はどちらですか？,where,is,your destination,of your driving?,sound_phrase_008.mp3,1
9,How long are you going to rent the car?,何日ほど借りられるご予定でしょうか？,how,long,are you going to,rent the car?,sound_phrase_009.mp3,1
10,Would you like smoking or non smoking car?,禁煙車と喫煙車はどちらをご希望されますか？,would you,like,smoking or,non smoking car?,sound_phrase_010.mp3,1
11,Where are you going to return the car?,どちらの店舗で返却されるご予定でしょうか？,where are,you going,to return,the car?,sound_phrase_011.mp3,1
12,"When you set destination, the list and map are written by Japanese.",検索時のリストと地図は日本語で表記されます。,when you set,"destination, the",list and map ,are written by Japanese,sound_phrase_012.mp3,1
13,"We can change the guidance system and map into English, Chinese or Korean. ",ナビの音声・ナビ表記は英語・中国語・韓国語に切り替えられます。,we can change the,guidance system and map,into,"English, Chinese or Korean",sound_phrase_013.mp3,1
14,We can offer you optional equipment. Would you like to need them?,備品の提供ができますがご必要でしょうか？,we can offer you,optional equipment,would you like to ,need them?,sound_phrase_014.mp3,2
15,The rental fee of tire chain is 1620 yen with tax per vehicle.,タイヤチェーンは1貸出あたり税込み1620円です。,the rental fee,of tire chain is,1620 yen with tax,per vehicle,sound_phrase_015.mp3,2
16,The rental fee of snow tires is 1620 yen with tax per one day.,スタッドレスタイヤは1日あたり税込み1620円です。,the rental fee,of snow tires is,1620 yen with tax,per one day,sound_phrase_016.mp3,2
17,"Some type of car and in some area, we can't offer snow tires.　",一部の地域と車種はスタッドレスタイヤの取り扱いがありません。,some type of car,"and in some area,",we can't,offer snow tires,sound_phrase_017.mp3,2
18,The rental fee of child safety seat is 540 yen with tax per one day.,チャイルドシートは1日あたり税込み540円です。,the rental fee,of child safety seat is,540 yen with tax,per one day,sound_phrase_018.mp3,2
19,The rental fee of child safety seats are limited to 1080 yen per one seat.,シートレンタル代の上限は1台につき1080円です。,the rental fee,of child safety seats,are limited to 1080 yen,per one seat,sound_phrase_019.mp3,2
20,Where should I put the child safety seat?,チャイルドシートはどの位置に取り付けたらいいですか？,where,should I,put the child,safety seat?,sound_phrase_020.mp3,2
21,Please let me know the height and weight of your children.,お子様の身長・体重を教えてください。,please let me,know the,height and weight of,your children,sound_phrase_021.mp3,2
22,A child under the age of six must be seated in child seat according a law.,法律上、6歳未満の子どもは必ずチャイルドシートが義務化されています。,a child under,the age of six must be,seated in child seat,according a law,sound_phrase_022.mp3,2
